No,Code,Category,Name
46,2063,업체,(주)비즈제이
45,2062,업체,에이디테크
44,1088,업체,사빈츠㈜
42,1086,업체,㈜지앤티글로벌
41,1085,업체,주식회사베스타아로마
40,1084,업체,을지코리아㈜
39,1083,업체,한미기술산업㈜
38,1082,업체,삼원온스파㈜
37,1081,업체,쇼핑타임
36,1080,업체,반디로
34,1078,업체,에이치비 코퍼레이션 주식회사
32,1076,업체,(주) 삼원온스파
31,1075,업체,㈜삼원산업
30,1074,업체,대구사무소
29,1073,업체,삼원온스파
28,1072,업체,㈜제이테크
27,1071,업체,(주)씨엠에스
26,1070,업체,㈜씨앤에스
25,1069,업체,삼호어묵
24,1068,업체,㈜도야어묵
23,1067,업체,㈜성환베이비
22,1066,업체,㈜씨앤피라인
21,1065,업체,도서출판세림
20,1064,업체,㈜삼원웰빙
19,1063,업체,㈜채움아이앤씨
18,1062,업체,엠투코리아
17,1061,업체,㈜효원쇼핑
16,1060,업체,투쓰리몰
15,1059,업체,아이리스
14,1058,업체,엣지하우스 ㈜
13,1057,업체,자이언트모바일 주식회사
12,1056,업체,㈜수미인터네셔널
11,1055,업체,㈜굿데이쇼핑
10,1054,업체,주식회사 세브온
9,1053,업체,아쿠아픽
8,1052,업체,주식회사 엔토모
7,1051,업체,주식회사 베리굿몰
6,1050,업체,주식회사 태서물산
5,1049,업체,주식회사 성환비앤비
4,1048,업체,주식회사 원코리아디지인
2,1046,업체,주식회사 티메카 코리아
1,1001,업체,미르씨푸드
229,,업체,(주)한쇼핑
230,,업체,주식회사 더원쇼핑
231,,업체,주식회사 제이커머스
232,,업체,주식회사 홀리치
233,,업체,tamall
234,,업체,주식회사 인포벨
235,,업체,주식회사 애드크로스
236,,업체,주식회사 에쎄르
237,,업체,주식회사 다파농
238,,업체,(주)골든콘
239,,업체,지유홈쇼핑
240,,업체,(주)엔에스쇼핑
241,,업체,새미집
242,,업체,주식회사 스틸세븐(Still7 Co., Ltd.)
243,,업체,(주)미리내티씨
244,,업체,에스에스엠(SSM)
245,,업체,씨제이CJ대한통운택배 사하구 영업소
246,,업체,지니스타
248,,업체,씨엠씨(CMC)
249,,업체,(주)피스테이션
250,,업체,덕흥수출포장
251,,업체,주식회사 에스엔씨메이드
253,,업체,(주)케이티알파
254,,업체,(주)케이티알파
255,,업체,주식회사 제이엠상사
256,,업체,비앤포텍
257,,업체,더블제이
258,,업체,（주동방다보아
261,,업체,(주)두루원
262,,업체,주식회사 그루앤컴퍼니
263,,업체,(주)히말라야코리아
264,,업체,소망기업박스바다
265,,업체,지원인터내셔날(G ONE International)
